№; region;customer; type; receiver;win; model; ;final price; trades date
2679;Новосибирская область;"ГКУ НСО ""УКСИС""";;М;;;1;не состоялся;09.06.2021 13:50
2680;Республика Башкортостан;ФГБОУ ВО БГМУ МИНЗДРАВА РОССИИ;АПР;ППМ;Siemens;MOBILETT Elara Max ;1;16 400 000,00;23.06.2021 11:55
2681;Тюменская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;КРТ;ППДтс;Севкаврентген;«ДИАКОМ-ТС» ;1;26 019 250,00;11.06.2021 9:30
2682;Санкт-Петербург;АДМИНИСТРАЦИЯ ВЫБОРГСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;;КРД-2;;;1;не состоялся;11.06.2021 9:07
2683;Волгоградская область;ОБЛКОМЗАКУПКИ;АПР;ППМ;Гелпик;«РЕНЕКС» ;1;6 000 000,00;11.06.2021 12:50
2684;Москва;МИНОБОРОНЫ РОССИИ;М;ППС;;;1;19 000 000,00;10.06.2021 9:00
2685;Забайкальский край;"ГКУ ""ЗАБГОСЗАКУП""";КРД-2;ППС;Севкаврентген;«Диаком» ;1;15 840 000,00;11.06.2021 12:40
2686;Пермский край;МИНИСТЕРСТВО ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ПЕРМСКОГО КРАЯ;РХА;УРИ;Амико;АРХП-«АМИКО;1;6 790 000,00;15.06.2021 9:15
2687;Самарская область;ГЛАВНОЕ УПРАВЛЕНИЕ ОРГАНИЗАЦИИ  ТОРГОВ;АПР;ППМ;ВКО Медпром;«Р-500 «Мобикомпакт» ;1;7 860 000,00;11.06.2021 11:00
2688;Самарская область;ГЛАВНОЕ УПРАВЛЕНИЕ ОРГАНИЗАЦИИ  ТОРГОВ;АПР;ППМ;ВКО Медпром;«Р-500 «Мобикомпакт» ;1;7 860 000,00;11.06.2021 11:00
2689;Самарская область;ГЛАВНОЕ УПРАВЛЕНИЕ ОРГАНИЗАЦИИ  ТОРГОВ;АПР;ППМ;ВКО Медпром;«Р-500 «Мобикомпакт» ;1;7 860 000,00;11.06.2021 11:00
2690;Самарская область;ГЛАВНОЕ УПРАВЛЕНИЕ ОРГАНИЗАЦИИ  ТОРГОВ;Ф;ПП;МТЛ;«УнивеРС-Флюорограф-МТ» ;1;8 209 000,00;10.06.2021 12:00
2691;Приморский край;ФКУЗ МСЧ-25 ФСИН РОССИИ;Ф;СЛ;Амико;АПЦФ-01-«АМИКО» ;1;4 014 500,00;10.06.2021 12:35
2692;Свердловская область;"ГАУЗ СО ""ЦГКБ № 24""";М;ППС;н/д;;1;11 000 000,00;
2693;Красноярский край;ФГБУ ФСНКЦ ФМБА РОССИИ;КРД-3;УРИ+ППМ;Гелпик;«РЕНЕКС-РЦ» ;1;23 498 000,00;
2694;Свердловская область;"ГАУЗ СО ""ЦГКБ № 24""";Ф;ПП;н/д;;1;7 000 000,00;
2695;Москва;ФГАОУ ВО ПЕРВЫЙ МГМУ ИМ.И.М. СЕЧЕНОВА МИНЗДРАВА РОССИИ (СЕЧЕНОВСКИЙ УНИВЕРСИТЕТ);РХА;УРИ;н/д;;1;10 095 000,00;
2696;Свердловская область;ДЕПАРТАМЕНТ ГОСУДАРСТВЕННЫХ ЗАКУПОК СВЕРДЛОВСКОЙ ОБЛАСТИ;МРТ;1,5;;;1;;16.06.2021 10:50
2697;Москва;"ФГБУ ""НМИЦ ТПМ"" МИНЗДРАВА РОССИИ";МРТ;2,5;;;1;;10.06.2021 13:20
2698;Санкт-Петербург;ФГБОУ ВО СЗГМУ ИМ. И.И. МЕЧНИКОВА МИНЗДРАВА РОССИИ;;КРТ-С;;;1;не состоялся;16.06.2021 10:25
2699;Воронежская область;УРКС ВО;Ф;СЛ;Амико;ФМцс-«ПроСкан» (исполнение «ПроСкан-7000»), ;1;6 890 000,00;16.06.2021 9:00
2700;Оренбургская область;"ГКУ ""ЦОЗ""";Ф;ПП;Гелпик;«РЕНЕКС-Ф5000» ;1;7 574 175,00;17.06.2021 9:00
2701;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;Ф;ПП;Гелпик;«РЕНЕКС-Ф5000» ;1;7 000 000,00;16.06.2021 10:50
2702;Республика Башкортостан;ФГБОУ ВО БГМУ МИНЗДРАВА РОССИИ;АГ;ПП;Siemens;Artis pheno ;1;136 000 000,00;25.06.2021 10:35
2703;Тюменская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;Ф;ПП;Электрон;ФЦ- «ОКО» ;1;7 029 000,00;16.06.2021 9:25
2704;Белгородская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯ БЕЛГОРОДСКОЙ ОБЛАСТИ;КРД-2;ППМ;Гелпик;«РЕНЕКС-2» ;1;15 200 000,00;16.06.2021 11:45
2705;Санкт-Петербург;АДМИНИСТРАЦИЯ ВЫБОРГСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;КРД-2;ППС;Электрон;АРЦ-«ОКО ;1;16 066 700,00;16.06.2021 11:25
2706;Ростовская область;"ГБУ РО ""РОКБ""";РХА;УРИ;Philips;BV Endura;1;8 125 170,00;16.06.2021 10:20
2707;Амурская область;УПРАВЛЕНИЕ ГОСЗАКАЗА ОБЛАСТИ;М;ППС;МТЛ;«Маммо-4-«МТ» ;1;14 450 000,00;18.06.2021 9:45
2708;Амурская область;УПРАВЛЕНИЕ ГОСЗАКАЗА ОБЛАСТИ;М;ППС;МТЛ;«Маммо-4-«МТ» ;1;14 450 000,00;18.06.2021 9:45
2709;Амурская область;УПРАВЛЕНИЕ ГОСЗАКАЗА ОБЛАСТИ;М;ППС;МТЛ;«Маммо-4-«МТ» ;1;14 450 000,00;18.06.2021 9:45
2710;Амурская область;УПРАВЛЕНИЕ ГОСЗАКАЗА ОБЛАСТИ;М;ППС;МТЛ;«Маммо-4-«МТ» ;1;14 450 000,00;18.06.2021 9:45
2711;Амурская область;УПРАВЛЕНИЕ ГОСЗАКАЗА ОБЛАСТИ;М;ППС;МТЛ;«Маммо-4-«МТ» ;1;14 450 000,00;18.06.2021 9:45
2712;Санкт-Петербург;АДМИНИСТРАЦИЯ КАЛИНИНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;М;ППС;Planmed;Planmed Sophie Classic ;1;13 000 000,00;16.06.2021 11:55
2713;Санкт-Петербург;АДМИНИСТРАЦИЯ КАЛИНИНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;М;ППС;Planmed;Planmed Sophie Classic ;1;13 000 000,00;16.06.2021 11:55
2714;Брянская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК БРЯНСКОЙ ОБЛАСТИ;;АПР;;;1;не состоялся;16.06.2021 12:00
2715;Владимирская область;ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ВЛАДИМИРСКОЙ ОБЛАСТИ;;АПР;;;1;не состоялся;15.06.2021 11:33
2716;Омская область;"КУ ОО ""ЦЕНТР ЗАКУПОК В СФЕРЕ ЗДРАВООХРАНЕНИЯ""";КРД-3;УРИ+ППС;Электрон;СУР-РД;1;24 866 666,67;
2717;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;23.06.2021 9:30
2718;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;23.06.2021 9:30
2719;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;23.06.2021 9:30
2720;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;23.06.2021 9:30
2721;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;23.06.2021 9:30
2722;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;23.06.2021 9:30
2723;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;23.06.2021 9:30
2724;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;23.06.2021 9:30
2725;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;23.06.2021 9:30
2726;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;16.06.2021 11:50
2727;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;16.06.2021 11:50
2728;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;16.06.2021 11:50
2729;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;16.06.2021 11:50
2730;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;16.06.2021 11:50
2731;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;16.06.2021 11:50
2732;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;16.06.2021 11:50
2733;Санкт-Петербург;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;;КТ;;;1;отменен;16.06.2021 11:50
2734;Санкт-Петербург;ФГБОУ ВО СЗГМУ ИМ. И.И. МЕЧНИКОВА МИНЗДРАВА РОССИИ;М;ППС;Севкаврентген;МР - «Диамант»;1;18 909 000,00;11.06.2021 11:10
2735;Сахалинская область;"ГКУ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК САХАЛИНСКОЙ ОБЛАСТИ""";КТ;64;GE;Revolution EVO ;1;60 666 211,32;22.06.2021 11:35
2736;Ивановская область;ДЕПАРТАМЕНТ КОНКУРСОВ И АУКЦИОНОВ ИВАНОВСКОЙ ОБЛАСТИ;КРД-3;УРИ+ППС;Амико;«МЕДИКС-РЦ-«АМИКО» ;1;23 000 000,00;16.06.2021 13:45
2737;Санкт-Петербург;АДМИНИСТРАЦИЯ КАЛИНИНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;Ф;ПП;Электрон;СУР-Ф;1;9 032 450,00;16.06.2021 11:50
2738;Камчатский край;"ГБУЗ ""КАМЧАТСКАЯ КРАЕВАЯ БОЛЬНИЦА ИМ. А.С. ЛУКАШЕВСКОГО""";;КТ;;;1;отменен;17.06.2021 11:40
2739;Ростовская область;УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ;РХА;ППД;Гелпик;«РЕНЕКС» ;1;12 089 250,00;15.06.2021 10:30
2740;Ростовская область;УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ;РХА;ППД;Гелпик;«РЕНЕКС» ;1;12 089 250,00;15.06.2021 10:30
2741;Республика Башкортостан;"ГКУ РБ ""РЦТ""";КРД-2;ППМ;Электрон;СУР-РГ;1;11 480 000,00;17.06.2021 10:40
2742;Свердловская область;ФКУЗ МСЧ-66 ФСИН РОССИИ;Ф;СЛ;Амико;АПЦФ-01-«АМИКО» ;1;3 398 528,96;23.06.2021 9:50
2743;Свердловская область;ФКУЗ МСЧ-66 ФСИН РОССИИ;Ф;СЛ;Амико;АПЦФ-01-«АМИКО» ;1;3 398 528,96;23.06.2021 9:50
2744;Свердловская область;ФКУЗ МСЧ-66 ФСИН РОССИИ;Ф;СЛ;Амико;АПЦФ-01-«АМИКО» ;1;3 398 528,96;23.06.2021 9:50
2745;Красноярский край;АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;АПР;CR;Севкаврентген;«ПАРУС» ;1;6 759 808,00;16.06.2021 9:00
2746;Красноярский край;АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;АПР;CR;Севкаврентген;«ПАРУС» ;1;6 759 808,00;16.06.2021 9:00
2747;Томская область;"ОГАУЗ ""ПОЛИКЛИНИКА №10""";КРД-2;ППС;Адани;«УНИЭКСПЕРТ 2 плюс»;1;12 106 800,00;
2748;Тюменская область;"ГБУЗ ТО ""ОКБ № 1""";АГ;ПП;н/д;;1;46 650 000,00;
2749;Воронежская область;УРКС ВО;МРТ;1,5;;;1;;
2750;Владимирская область;ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ВЛАДИМИРСКОЙ ОБЛАСТИ;МРТ;1,5;;;1;;
2751;Республика Мордовия;"ГКУ РМ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";терапия;200;Адани;Терад200;1;15 252 000,00;22.06.2021 9:09
2752;Владимирская область;ФКУЗ МСЧ-33 ФСИН  РОССИИ;Ф;СЛ;Научприбор;ФМЦ «НП-О» ;1;3 499 999,00;17.06.2021 11:35
2753;Хабаровский край;КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;;АГ;;;1;не состоялся;17.06.2021 10:45
2754;Ярославская область;ДГЗ ЯО;КТ;64;GE;Revolution EVO ;1;57 520 708,47;18.06.2021 11:55
2755;Курская область;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ КУРСКОЙ ОБЛАСТИ;М;ППС;МТЛ;«Маммо-4МТ-Плюс» ;1;11 000 000,00;18.06.2021 9:21
2756;Курская область;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ КУРСКОЙ ОБЛАСТИ;М;ППС;МТЛ;«Маммо-4МТ-Плюс» ;1;11 000 000,00;18.06.2021 9:21
2757;Курская область;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ КУРСКОЙ ОБЛАСТИ;М;ППС;МТЛ;«Маммо-4МТ-Плюс» ;1;11 000 000,00;18.06.2021 9:21
2758;Курская область;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ КУРСКОЙ ОБЛАСТИ;М;ППС;МТЛ;«Маммо-4МТ-Плюс» ;1;11 000 000,00;18.06.2021 9:21
2759;Курская область;КОМИТЕТ ПО УПРАВЛЕНИЮ ИМУЩЕСТВОМ КУРСКОЙ ОБЛАСТИ;М;ППС;МТЛ;«Маммо-4МТ-Плюс» ;1;11 000 000,00;18.06.2021 9:21
2760;Калужская область;МИНИСТЕРСТВО КОНКУРЕНТНОЙ ПОЛИТИКИ КАЛУЖСКОЙ ОБЛАСТИ;Ф;ПП;Амико;«Флюоро-ПроГраф-РП» ;1;7 227 000,00;17.06.2021 11:30
2761;Республика Калмыкия;СЛУЖБА ЗАКУПОК РЕСПУБЛИКИ КАЛМЫКИЯ;Фа;CCD;Инвариант;«КПФ- INVARIANT» ;1;7 250 000,00;17.06.2021 9:20
2762;Республика Калмыкия;СЛУЖБА ЗАКУПОК РЕСПУБЛИКИ КАЛМЫКИЯ;Фа;CCD;Инвариант;«КПФ- INVARIANT» ;1;7 250 000,00;17.06.2021 9:20
2763;Республика Калмыкия;СЛУЖБА ЗАКУПОК РЕСПУБЛИКИ КАЛМЫКИЯ;Фа;CCD;Инвариант;«КПФ- INVARIANT» ;1;7 250 000,00;17.06.2021 9:20
2764;Республика Калмыкия;СЛУЖБА ЗАКУПОК РЕСПУБЛИКИ КАЛМЫКИЯ;Ма;;Радиан;«Лаборатория рентгенодиагностическая передвижная» ;1;12 800 000,00;18.06.2021 11:02
2765;Республика Калмыкия;СЛУЖБА ЗАКУПОК РЕСПУБЛИКИ КАЛМЫКИЯ;Ма;;Радиан;«Лаборатория рентгенодиагностическая передвижная» ;1;12 800 000,00;18.06.2021 11:02
2766;Республика Калмыкия;СЛУЖБА ЗАКУПОК РЕСПУБЛИКИ КАЛМЫКИЯ;Ма;;Радиан;«Лаборатория рентгенодиагностическая передвижная» ;1;12 800 000,00;18.06.2021 11:02
2767;Ивановская область;ДЕПАРТАМЕНТ КОНКУРСОВ И АУКЦИОНОВ ИВАНОВСКОЙ ОБЛАСТИ;КРД-2;ППМ;Амико;«МЕДИКС-Р-АМИКО» ;1;14 500 000,00;22.06.2021 13:15
2768;Самарская область;ГЛАВНОЕ УПРАВЛЕНИЕ ОРГАНИЗАЦИИ  ТОРГОВ;АГ;ПП;Philips;Azurion 7 М20;1;67 560 500,00;17.06.2021 10:00
2769;Пермский край;ФКУЗ МСЧ-59 ФСИН РОССИИ;;Ф;;;1;отменено;16.06.2021 9:00
2770;Брянская область;"ГАУЗ ""БГП №4""";КРД-2;ППМ;н/д;корея;1;6 672 500,00;
2771;Мурманская область;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ МУРМАНСКОЙ ОБЛАСТИ;МРТ;1,5;;;1;;22.06.2021 11:30
2772;Мурманская область;КОМИТЕТ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ МУРМАНСКОЙ ОБЛАСТИ;МРТ;1,5;;;1;;22.06.2021 11:30
2773;Тульская область;"ГКУ ТО ""ЦОЗ""";терапия;100;UJP;TERABALT тип 100 модель ACS, 2021года ;1;96 094 860,00;17.02.2021 10:05
2774;Республика Адыгея;;Терапия;200;Адани;«ТЕРАД 200»;1;18 600 000,00;12.03.2021 10:45
2775;Калининградская область;"ГКУ КО ""ЦЕНТР ТОРГОВ""";Терапия;200;Адани;«ТЕРАД 200»;1;22 885 000,00;29.04.2021 11:20
2776;Краснодарский край;"ГКУ КК ""ДГЗ""";Терапия;200;Адани;«ТЕРАД 200»;1;27 013 918,33;28.04.2021 10:55
2777;Оренбургская область;"ГКУ ""ЦОЗ""";АПР;ППМ;Ренмедпром;Дельта ;1;7 387 500,00;23.06.2021 13:15
2778;Омская область;ФКУЗ МСЧ-55 ФСИН РОССИИ;Ф;СЛ;Протон;«ФЦ «Протон» ;1;4 296 600,00;22.06.2021 9:00
2779;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;КРТ;ППД1;Электрон;"КРТ-""МАКСИМА"" ";1;17 500 000,00;24.06.2021 10:50
2780;Челябинская область;МИНЗДРАВ ЧЕЛЯБИНСКОЙ ОБЛАСТИ;Ф;СЛ;Медтех;«КАРС» - С1*;1;6 800 000,00;24.06.2021 10:55
2781;Орловская область;ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ И ИНВЕСТИЦИОННОЙ ДЕЯТЕЛЬНОСТИ ОРЛОВСКОЙ ОБЛАСТИ;;КТ;;;1;не состоялся;21.06.2021 9:45
2782;Белгородская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯ БЕЛГОРОДСКОЙ ОБЛАСТИ;КТ;128;Canon/Toshiba;Aquilion Prime SP (TSX-303B) ;1;59 500 000,00;22.06.2021 10:50
2783;Москва;МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ М.В.ЛОМОНОСОВА, МГУ ИМЕНИ М.В.ЛОМОНОСОВА, МОСКОВСКИЙ УНИВЕРСИТЕТ ИЛИ МГУ;АГ;ПП;GE;Innova IGS 6 с принадлежностями;1;98 261 459,00;18.06.2021 10:30
2784;Тюменская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННЫХ ЗАКУПОК ТЮМЕНСКОЙ ОБЛАСТИ;М;ППС;Севкаврентген;МР - «Диамант»;1;9 900 000,00;21.06.2021 9:25
2785;Москва;МИНОБОРОНЫ РОССИИ;М;цифровой;;;1;19 000 000,00;22.06.2021 9:00
2786;Республика Башкортостан;"ГКУ РБ ""РЦТ""";РХА;ПП;Гелпик;"""РЕНЕКС"" ";1;11 862 000,00;21.06.2021 11:10
2787;Новосибирская область;"ГКУ НСО ""УКСИС""";М;ППС;МТЛ;«Маммо-4МТ-Плюс» ;1;15 500 000,00;21.06.2021 13:30
2788;Новосибирская область;"ГКУ НСО ""УКСИС""";М;ППС;МТЛ;«Маммо-4МТ-Плюс» ;1;15 500 000,00;21.06.2021 13:30
2789;Ивановская область;ДЕПАРТАМЕНТ КОНКУРСОВ И АУКЦИОНОВ ИВАНОВСКОЙ ОБЛАСТИ;Ф;ПП;Гелпик;«РЕНЕКС-Ф5000» ;1;7 800 000,00;22.06.2021 13:15
2790;Москва;"ФГБУ ""НМИЦ ОНКОЛОГИИ ИМ. Н.Н. БЛОХИНА"" МИНЗДРАВА РОССИИ";РХА;ПП;Siemens;“Cios Alpha;1;23 844 500,00;22.06.2021 9:50
2791;Москва;"ФГБУ ""НМИЦ ОНКОЛОГИИ ИМ. Н.Н. БЛОХИНА"" МИНЗДРАВА РОССИИ";РХА;ПП;Siemens;“Cios Alpha;1;23 844 500,00;22.06.2021 9:50
2792;Санкт-Петербург;КОМИТЕТ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ САНКТ-ПЕТЕРБУРГА;КТ;128;Philips;Ingenuity CT ;1;58 800 000,00;21.06.2021 13:15
2793;Кабардино-Балкарская Республика;МИНСТРОЙ КБР;;РХА;;;1;не состоялся;18.06.2021 9:35
2794;Ставропольский край;КОМИТЕТ СК ПО ЗАКУПКАМ;М;ППС;Pinkview;Pinkview-RT;1;10 800 000,00;23.06.2021 12:10
2795;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2796;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2797;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2798;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2799;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2800;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2801;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2802;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2803;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2804;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2805;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2806;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2807;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2808;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2809;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2810;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2811;Краснодарский край;"ГКУ КК ""ДГЗ""";М;ППС;МТЛ;"""Маммо-4МТ-Плюс"" ";1;15 040 000,00;21.06.2021 10:10
2812;Санкт-Петербург;"ФГБУ ""НМИЦ ТО ИМ. Р.Р. ВРЕДЕНА"" МИНЗДРАВА РОССИИ";КРТ;ППДтс;Shimadzu;SONIALVISION G4 ;1;47 275 000,00;
2813;Ульяновская область;АГЕНТСТВО ГОСЗАКУПОК УЛЬЯНОВСКОЙ ОБЛАСТИ;М;ППС;Гелпик;МХ с принадлежностями, модель 600.;1;11 940 000,00;21.06.2021 9:15
2814;Красноярский край;АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;КРТ;УРИ+ППМ;Севкаврентген;«Диаком» ;1;17 755 200,00;21.06.2021 9:00
2815;Красноярский край;АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;КРТ;УРИ+ППМ;Севкаврентген;«Диаком» ;1;17 755 200,00;21.06.2021 9:00
2816;Красноярский край;АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;КРТ;УРИ+ППМ;Севкаврентген;«Диаком» ;1;17 755 200,00;21.06.2021 9:00
2817;Красноярский край;АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;КРТ;УРИ+ППМ;Севкаврентген;«Диаком» ;1;17 755 200,00;21.06.2021 9:00
2818;Красноярский край;АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ;АПР;ППМ;ВКО Медпром;"Р-500 Мобикомпакт""";1;6 796 800,00;21.06.2021 10:30
2819;Оренбургская область;"ГАУЗ ""ООКБ""";РХА;УРИ;н/д;;1;9 768 000,00;
2820;Красноярский край;ФГБУ ФСНКЦ ФМБА РОССИИ;М;ППС;Гелпик;DMX-600;1;12 500 000,00;
2821;Красноярский край;ФГБУ ФСНКЦ ФМБА РОССИИ;М;ППС;Siemens;Mammomat Fusion;1;21 608 415,00;
2822;Свердловская область;"ГАУЗ СО ""ГБ Г.ПЕРВОУРАЛЬСК""";Ф;ПП;н/д;;1;6 800 000,00;
